elec,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2_tCO2_,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,week_status,Day_of_week,load_type,timestamp,steam
3.17,2.95,0,0,73.21,100,900,Weekday,Monday,Light_Load,01/01/2018 00:15,0.801462124315495
4,4.46,0,0,66.77,100,1800,Weekday,Monday,Light_Load,01/01/2018 00:30,0.5
3.24,3.28,0,0,70.28,100,2700,Weekday,Monday,Light_Load,01/01/2018 00:45,0.5
3.31,3.56,0,0,68.09,100,3600,Weekday,Monday,Light_Load,01/01/2018 01:00,0.5
3.82,4.5,0,0,64.72,100,4500,Weekday,Monday,Light_Load,01/01/2018 01:15,0.5
3.28,3.56,0,0,67.76,100,5400,Weekday,Monday,Light_Load,01/01/2018 01:30,0.5
3.6,4.14,0,0,65.62,100,6300,Weekday,Monday,Light_Load,01/01/2018 01:45,0.588548109726816
3.6,4.28,0,0,64.37,100,7200,Weekday,Monday,Light_Load,01/01/2018 02:00,0.5
3.28,3.64,0,0,66.94,100,8100,Weekday,Monday,Light_Load,01/01/2018 02:15,0.5
3.78,4.72,0,0,62.51,100,9000,Weekday,Monday,Light_Load,01/01/2018 02:30,0.5
3.46,4.03,0,0,65.14,100,9900,Weekday,Monday,Light_Load,01/01/2018 02:45,0.840552507509997
3.24,3.64,0,0,66.49,100,10800,Weekday,Monday,Light_Load,01/01/2018 03:00,0.5
3.96,4.97,0,0,62.32,100,11700,Weekday,Monday,Light_Load,01/01/2018 03:15,0.5
3.31,3.74,0,0,66.27,100,12600,Weekday,Monday,Light_Load,01/01/2018 03:30,0.5
3.31,3.85,0,0,65.19,100,13500,Weekday,Monday,Light_Load,01/01/2018 03:45,0.5
3.89,5,0,0,61.4,100,14400,Weekday,Monday,Light_Load,01/01/2018 04:00,0.5
3.28,3.82,0,0,65.14,100,15300,Weekday,Monday,Light_Load,01/01/2018 04:15,0.5
3.56,4.28,0,0,63.95,100,16200,Weekday,Monday,Light_Load,01/01/2018 04:30,0.5
3.74,4.54,0,0,63.58,100,17100,Weekday,Monday,Light_Load,01/01/2018 04:45,0.5
3.31,3.6,0,0,67.68,100,18000,Weekday,Monday,Light_Load,01/01/2018 05:00,0.5
3.56,4.07,0,0,65.84,100,18900,Weekday,Monday,Light_Load,01/01/2018 05:15,0.5
3.56,4.1,0,0,65.56,100,19800,Weekday,Monday,Light_Load,01/01/2018 05:30,1.44440091782854
3.28,3.49,0,0,68.48,100,20700,Weekday,Monday,Light_Load,01/01/2018 05:45,0.5
3.78,4.32,0,0,65.85,100,21600,Weekday,Monday,Light_Load,01/01/2018 06:00,0.5
3.35,3.64,0,0,67.72,100,22500,Weekday,Monday,Light_Load,01/01/2018 06:15,0.5
3.24,3.35,0,0,69.52,100,23400,Weekday,Monday,Light_Load,01/01/2018 06:30,0.5
3.89,4.46,0,0,65.73,100,24300,Weekday,Monday,Light_Load,01/01/2018 06:45,0.5
3.31,3.53,0,0,68.4,100,25200,Weekday,Monday,Light_Load,01/01/2018 07:00,0.5
3.28,3.49,0,0,68.48,100,26100,Weekday,Monday,Light_Load,01/01/2018 07:15,0.5
3.85,4.75,0,0,62.97,100,27000,Weekday,Monday,Light_Load,01/01/2018 07:30,0.5
3.2,3.6,0,0,66.44,100,27900,Weekday,Monday,Light_Load,01/01/2018 07:45,0.5
3.31,3.78,0,0,65.88,100,28800,Weekday,Monday,Light_Load,01/01/2018 08:00,0.5
3.78,4.75,0,0,62.27,100,29700,Weekday,Monday,Light_Load,01/01/2018 08:15,0.54942773280783
3.28,3.74,0,0,65.94,100,30600,Weekday,Monday,Light_Load,01/01/2018 08:30,0.5
3.49,4.46,0.18,0,61.63,99.87,31500,Weekday,Monday,Light_Load,01/01/2018 08:45,0.5
3.89,0,15.66,0,100,24.11,32400,Weekday,Monday,Light_Load,01/01/2018 09:00,0.5
3.6,0,16.96,0,100,20.76,33300,Weekday,Monday,Light_Load,01/01/2018 09:15,0.646471247336689
4.03,0,21.28,0,100,18.61,34200,Weekday,Monday,Light_Load,01/01/2018 09:30,0.637335811346899
3.92,0,19.22,0,100,19.98,35100,Weekday,Monday,Light_Load,01/01/2018 09:45,0.5
3.64,0,16.88,0,100,21.08,36000,Weekday,Monday,Light_Load,01/01/2018 10:00,0.5
4.07,0,22.32,0,100,17.94,36900,Weekday,Monday,Light_Load,01/01/2018 10:15,0.5
