Time,Elec_Actual_Min,Elec_Plan_Min,Boiler_MW,Turbine_MW,Grid_kWh
00:01:00,4.1,0.035,20,26.3675,232.81625
00:02:00,4.1,0.035,20,26.3675,232.81625
00:03:00,4.1,0.035,20,26.3675,232.81625
00:04:00,4.1,0.035,20,26.3675,232.81625
00:05:00,4.1,0.035,20,26.3675,232.81625
00:06:00,4.1,0.035,20,26.3675,232.81625
00:07:00,4.1,0.035,20,26.3675,232.81625
00:08:00,4.1,0.035,20,26.3675,232.81625
00:09:00,4.1,0.035,20,26.3675,232.81625
00:10:00,4.1,0.035,20,26.3675,232.81625
00:11:00,4.1,0.035,20,26.3675,232.81625
00:12:00,4.1,0.035,20,26.3675,232.81625
00:13:00,4.1,0.035,20,26.3675,232.81625
00:14:00,4.1,0.035,20,26.3675,232.81625
00:15:00,4.1,0.035,20,26.3675,232.81625
00:16:00,4.1,0.035,20,26.3675,232.81625
00:17:00,4.1,0.035,20,26.3675,232.81625
00:18:00,4.1,0.035,20,26.3675,232.81625
00:19:00,4.1,0.035,20,26.3675,232.81625
00:20:00,4.1,0.035,20,26.3675,232.81625
00:21:00,4.1,0.035,20,26.3675,232.81625
00:22:00,4.1,0.035,20,26.3675,232.81625
00:23:00,4.1,0.035,20,26.3675,232.81625
00:24:00,4.1,0.035,20,26.3675,232.81625
00:25:00,4.1,0.035,20,26.3675,232.81625
00:26:00,4.1,0.035,20,26.3675,232.81625
00:27:00,4.1,0.035,20,26.3675,232.81625
00:28:00,4.1,0.035,20,26.3675,232.81625
00:29:00,4.1,0.035,20,26.3675,232.81625
00:30:00,4.1,0.035,20,26.3675,232.81625
00:31:00,4.1,0.035,20,26.3675,232.81625
00:32:00,4.1,0.035,20,26.3675,232.81625
00:33:00,4.1,0.035,20,26.3675,232.81625
00:34:00,4.1,0.035,20,26.3675,232.81625
00:35:00,4.1,0.035,20,26.3675,232.81625
00:36:00,4.1,0.035,20,26.3675,232.81625
00:37:00,4.1,0.035,20,26.3675,232.81625
00:38:00,4.1,0.035,20,26.3675,232.81625
00:39:00,4.1,0.035,20,26.3675,232.81625
00:40:00,4.1,0.035,20,26.3675,232.81625
00:41:00,4.1,0.035,20,26.3675,232.81625
00:42:00,4.1,0.035,20,26.3675,232.81625
00:43:00,4.1,0.035,20,26.3675,232.81625
00:44:00,4.1,0.035,20,26.3675,232.81625
00:45:00,4.1,0.035,20,26.3675,232.81625
00:46:00,4.1,0.035,20,26.3675,232.81625
00:47:00,4.1,0.035,20,26.3675,232.81625
00:48:00,4.1,0.035,20,26.3675,232.81625
00:49:00,4.1,0.035,20,26.3675,232.81625
00:50:00,4.1,0.035,20,26.3675,232.81625
00:51:00,4.1,0.035,20,26.3675,232.81625
00:52:00,4.1,0.035,20,26.3675,232.81625
00:53:00,4.1,0.035,20,26.3675,232.81625
00:54:00,4.1,0.035,20,26.3675,232.81625
00:55:00,4.1,0.035,20,26.3675,232.81625
00:56:00,4.1,0.035,20,26.3675,232.81625
00:57:00,4.1,0.035,20,26.3675,232.81625
00:58:00,4.1,0.035,20,26.3675,232.81625
00:59:00,4.1,0.035,20,26.3675,232.81625
01:00:00,4.1,0.221666666666667,20,25.9275,233.03625
